"year_month","month_of_release","passenger_type","direction","sex","age","estimate","standard_error","status"
"2016-08","2020-09","Long-term migrant","Arrivals","Female","35-39 years",425,0,"Final"
"2016-09","2020-09","Long-term migrant","Arrivals","Female","35-39 years",482,0,"Final"
"2016-10","2020-09","Long-term migrant","Arrivals","Female","35-39 years",469,0,"Final"
"2016-11","2020-09","Long-term migrant","Arrivals","Female","35-39 years",470,0,"Final"
"2016-12","2020-09","Long-term migrant","Arrivals","Female","35-39 years",567,0,"Final"
"2017-01","2020-09","Long-term migrant","Arrivals","Female","35-39 years",545,0,"Final"
"2017-02","2020-09","Long-term migrant","Arrivals","Female","35-39 years",458,0,"Final"
"2017-03","2020-09","Long-term migrant","Arrivals","Female","35-39 years",435,0,"Final"
"2017-04","2020-09","Long-term migrant","Arrivals","Female","35-39 years",376,0,"Final"
"2017-05","2020-09","Long-term migrant","Arrivals","Female","35-39 years",345,0,"Final"
"2017-06","2020-09","Long-term migrant","Arrivals","Female","35-39 years",390,0,"Final"
"2017-07","2020-09","Long-term migrant","Arrivals","Female","35-39 years",452,0,"Final"
"2017-08","2020-09","Long-term migrant","Arrivals","Female","35-39 years",469,0,"Final"
"2017-09","2020-09","Long-term migrant","Arrivals","Female","35-39 years",468,0,"Final"
"2017-10","2020-09","Long-term migrant","Arrivals","Female","35-39 years",478,0,"Final"
"2017-11","2020-09","Long-term migrant","Arrivals","Female","35-39 years",461,0,"Final"
"2017-12","2020-09","Long-term migrant","Arrivals","Female","35-39 years",567,0,"Final"
"2018-01","2020-09","Long-term migrant","Arrivals","Female","35-39 years",593,0,"Final"
"2018-02","2020-09","Long-term migrant","Arrivals","Female","35-39 years",421,0,"Final"
"2018-03","2020-09","Long-term migrant","Arrivals","Female","35-39 years",460,0,"Final"
"2018-04","2020-09","Long-term migrant","Arrivals","Female","35-39 years",343,0,"Final"
"2018-05","2020-09","Long-term migrant","Arrivals","Female","35-39 years",360,0,"Final"
"2018-06","2020-09","Long-term migrant","Arrivals","Female","35-39 years",381,0,"Final"
"2018-07","2020-09","Long-term migrant","Arrivals","Female","35-39 years",509,0,"Final"
"2018-08","2020-09","Long-term migrant","Arrivals","Female","35-39 years",484,0,"Final"
"2018-09","2020-09","Long-term migrant","Arrivals","Female","35-39 years",540,0,"Final"
"2018-10","2020-09","Long-term migrant","Arrivals","Female","35-39 years",530,0,"Final"
"2018-11","2020-09","Long-term migrant","Arrivals","Female","35-39 years",501,0,"Final"
"2018-12","2020-09","Long-term migrant","Arrivals","Female","35-39 years",580,0,"Final"
"2019-01","2020-09","Long-term migrant","Arrivals","Female","35-39 years",598,0,"Final"
"2019-02","2020-09","Long-term migrant","Arrivals","Female","35-39 years",507,0,"Final"
"2019-03","2020-09","Long-term migrant","Arrivals","Female","35-39 years",439,0,"Final"
"2019-04","2020-09","Long-term migrant","Arrivals","Female","35-39 years",394,0,"Final"
"2001-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",407,0,"Final"
"2001-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",419,0,"Final"
"2001-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",321,0,"Final"
"2001-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",340,0,"Final"
"2001-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",349,0,"Final"
"2001-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",350,0,"Final"
"2001-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",400,0,"Final"
"2001-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",394,0,"Final"
"2001-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",463,0,"Final"
"2001-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",543,0,"Final"
"2001-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",532,0,"Final"
"2001-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",544,0,"Final"
"2002-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",522,0,"Final"
"2002-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",449,0,"Final"
"2002-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",473,0,"Final"
"2002-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",423,0,"Final"
"2002-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",397,0,"Final"
"2002-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",394,0,"Final"
"2002-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",413,0,"Final"
"2002-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",527,0,"Final"
"2002-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",502,0,"Final"
"2002-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",519,0,"Final"
"2002-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",566,0,"Final"
"2002-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",588,0,"Final"
"2003-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",516,0,"Final"
"2003-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",499,0,"Final"
"2003-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",521,0,"Final"
"2003-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",372,0,"Final"
"2003-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",369,0,"Final"
"2003-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",413,0,"Final"
"2003-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",426,0,"Final"
"2003-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",441,0,"Final"
"2003-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",527,0,"Final"
"2003-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",506,0,"Final"
"2003-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",530,0,"Final"
"2003-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",520,0,"Final"
"2004-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",515,0,"Final"
"2004-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",364,0,"Final"
"2004-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",364,0,"Final"
"2004-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",345,0,"Final"
"2004-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",356,0,"Final"
"2004-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",339,0,"Final"
"2004-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",360,0,"Final"
"2004-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",413,0,"Final"
"2004-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",445,0,"Final"
"2004-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",427,0,"Final"
"2004-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",449,0,"Final"
"2004-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",560,0,"Final"
"2005-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",463,0,"Final"
"2005-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",406,0,"Final"
"2005-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",405,0,"Final"
"2005-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",413,0,"Final"
"2005-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",398,0,"Final"
"2005-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",371,0,"Final"
"2005-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",343,0,"Final"
"2005-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",428,0,"Final"
"2005-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",488,0,"Final"
"2005-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",451,0,"Final"
"2005-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",448,0,"Final"
"2005-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",558,0,"Final"
"2006-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",549,0,"Final"
"2006-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",425,0,"Final"
"2006-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",410,0,"Final"
"2006-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",383,0,"Final"
"2006-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",350,0,"Final"
"2006-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",360,0,"Final"
"2006-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",403,0,"Final"
"2006-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",451,0,"Final"
"2006-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",512,0,"Final"
"2006-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",542,0,"Final"
"2006-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",540,0,"Final"
"2006-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",570,0,"Final"
"2007-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",562,0,"Final"
"2007-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",492,0,"Final"
"2007-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",494,0,"Final"
"2007-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",408,0,"Final"
"2007-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",376,0,"Final"
"2007-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",433,0,"Final"
"2007-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",409,0,"Final"
"2007-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",496,0,"Final"
"2007-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",522,0,"Final"
"2007-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",456,0,"Final"
"2007-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",501,0,"Final"
"2007-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",492,0,"Final"
"2008-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",510,0,"Final"
"2008-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",519,0,"Final"
"2008-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",481,0,"Final"
"2008-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",465,0,"Final"
"2008-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",435,0,"Final"
"2008-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",418,0,"Final"
"2008-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",431,0,"Final"
"2008-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",479,0,"Final"
"2008-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",456,0,"Final"
"2008-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",441,0,"Final"
"2008-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",516,0,"Final"
"2008-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",520,0,"Final"
"2009-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",474,0,"Final"
"2009-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",394,0,"Final"
"2009-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",376,0,"Final"
"2009-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",298,0,"Final"
"2009-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",304,0,"Final"
"2009-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",292,0,"Final"
"2009-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",297,0,"Final"
"2009-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",327,0,"Final"
"2009-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",343,0,"Final"
"2009-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",365,0,"Final"
"2009-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",355,0,"Final"
"2009-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",449,0,"Final"
"2010-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",386,0,"Final"
"2010-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",351,0,"Final"
"2010-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",303,0,"Final"
"2010-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",266,0,"Final"
"2010-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",271,0,"Final"
"2010-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",238,0,"Final"
"2010-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",311,0,"Final"
"2010-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",281,0,"Final"
"2010-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",330,0,"Final"
"2010-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",340,0,"Final"
"2010-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",358,0,"Final"
"2010-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",423,0,"Final"
"2011-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",376,0,"Final"
"2011-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",335,0,"Final"
"2011-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",301,0,"Final"
"2011-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",257,0,"Final"
"2011-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",265,0,"Final"
"2011-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",222,0,"Final"
"2011-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",300,0,"Final"
"2011-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",305,0,"Final"
"2011-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",366,0,"Final"
"2011-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",348,0,"Final"
"2011-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",370,0,"Final"
"2011-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",399,0,"Final"
"2012-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",310,0,"Final"
"2012-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",347,0,"Final"
"2012-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",313,0,"Final"
"2012-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",270,0,"Final"
"2012-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",260,0,"Final"
"2012-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",304,0,"Final"
"2012-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",267,0,"Final"
"2012-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",325,0,"Final"
"2012-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",338,0,"Final"
"2012-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",393,0,"Final"
"2012-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",385,0,"Final"
"2012-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",459,0,"Final"
"2013-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",344,0,"Final"
"2013-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",379,0,"Final"
"2013-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",347,0,"Final"
"2013-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",289,0,"Final"
"2013-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",275,0,"Final"
"2013-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",350,0,"Final"
"2013-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",329,0,"Final"
"2013-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",352,0,"Final"
"2013-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",352,0,"Final"
"2013-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",381,0,"Final"
"2013-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",388,0,"Final"
"2013-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",414,0,"Final"
"2014-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",397,0,"Final"
"2014-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",453,0,"Final"
"2014-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",354,0,"Final"
"2014-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",350,0,"Final"
"2014-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",321,0,"Final"
"2014-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",353,0,"Final"
"2014-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",435,0,"Final"
"2014-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",438,0,"Final"
"2014-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",389,0,"Final"
"2014-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",427,0,"Final"
"2014-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",413,0,"Final"
"2014-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",475,0,"Final"
"2015-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",454,0,"Final"
"2015-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",436,0,"Final"
"2015-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",491,0,"Final"
"2015-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",381,0,"Final"
"2015-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",366,0,"Final"
"2015-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",418,0,"Final"
"2015-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",425,0,"Final"
"2015-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",497,0,"Final"
"2015-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",500,0,"Final"
"2015-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",515,0,"Final"
"2015-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",490,0,"Final"
"2015-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",529,0,"Final"
"2016-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",483,0,"Final"
"2016-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",552,0,"Final"
"2016-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",452,0,"Final"
"2016-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",406,0,"Final"
"2016-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",435,0,"Final"
"2016-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",448,0,"Final"
"2016-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",499,0,"Final"
"2016-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",510,0,"Final"
"2016-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",552,0,"Final"
"2016-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",554,0,"Final"
"2016-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",523,0,"Final"
"2016-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",526,0,"Final"
"2017-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",558,0,"Final"
"2017-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",594,0,"Final"
"2017-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",542,0,"Final"
"2017-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",424,0,"Final"
"2017-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",448,0,"Final"
"2017-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",470,0,"Final"
"2017-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",564,0,"Final"
"2017-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",566,0,"Final"
"2017-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",536,0,"Final"
"2017-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",565,0,"Final"
"2017-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",565,0,"Final"
"2017-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",576,0,"Final"
"2018-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",653,0,"Final"
"2018-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",610,0,"Final"
"2018-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",561,0,"Final"
"2018-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",436,0,"Final"
"2018-05","2020-09","Long-term migrant","Arrivals","Male","35-39 years",486,0,"Final"
"2018-06","2020-09","Long-term migrant","Arrivals","Male","35-39 years",513,0,"Final"
"2018-07","2020-09","Long-term migrant","Arrivals","Male","35-39 years",572,0,"Final"
"2018-08","2020-09","Long-term migrant","Arrivals","Male","35-39 years",674,0,"Final"
"2018-09","2020-09","Long-term migrant","Arrivals","Male","35-39 years",606,0,"Final"
"2018-10","2020-09","Long-term migrant","Arrivals","Male","35-39 years",628,0,"Final"
"2018-11","2020-09","Long-term migrant","Arrivals","Male","35-39 years",608,0,"Final"
"2018-12","2020-09","Long-term migrant","Arrivals","Male","35-39 years",565,0,"Final"
"2019-01","2020-09","Long-term migrant","Arrivals","Male","35-39 years",688,0,"Final"
"2019-02","2020-09","Long-term migrant","Arrivals","Male","35-39 years",741,0,"Final"
"2019-03","2020-09","Long-term migrant","Arrivals","Male","35-39 years",608,0,"Final"
"2019-04","2020-09","Long-term migrant","Arrivals","Male","35-39 years",456,0,"Final"
"2001-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",328,0,"Final"
"2001-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",288,0,"Final"
"2001-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",202,0,"Final"
"2001-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",245,0,"Final"
"2001-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",216,0,"Final"
"2001-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",248,0,"Final"
"2001-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",275,0,"Final"
"2001-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",273,0,"Final"
"2001-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",333,0,"Final"
"2001-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",353,0,"Final"
"2001-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",324,0,"Final"
"2001-12","2020-09","Long-term migrant","Arrivals","Female","40-44 years",373,0,"Final"
"2002-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",431,0,"Final"
"2002-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",290,0,"Final"
"2002-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",292,0,"Final"
"2002-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",228,0,"Final"
"2002-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",229,0,"Final"
"2002-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",302,0,"Final"
"2002-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",302,0,"Final"
"2002-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",319,0,"Final"
"2002-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",357,0,"Final"
"2002-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",347,0,"Final"
"2002-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",374,0,"Final"
"2002-12","2020-09","Long-term migrant","Arrivals","Female","40-44 years",436,0,"Final"
"2003-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",467,0,"Final"
"2003-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",313,0,"Final"
"2003-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",263,0,"Final"
"2003-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",240,0,"Final"
"2003-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",266,0,"Final"
"2003-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",255,0,"Final"
"2003-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",305,0,"Final"
"2003-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",309,0,"Final"
"2003-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",335,0,"Final"
"2003-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",301,0,"Final"
"2003-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",337,0,"Final"
"2003-12","2020-09","Long-term migrant","Arrivals","Female","40-44 years",415,0,"Final"
"2004-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",447,0,"Final"
"2004-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",258,0,"Final"
"2004-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",219,0,"Final"
"2004-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",227,0,"Final"
"2004-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",195,0,"Final"
"2004-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",245,0,"Final"
"2004-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",290,0,"Final"
"2004-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",259,0,"Final"
"2004-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",314,0,"Final"
"2004-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",289,0,"Final"
"2004-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",298,0,"Final"
"2004-12","2020-09","Long-term migrant","Arrivals","Female","40-44 years",373,0,"Final"
"2005-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",368,0,"Final"
"2005-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",234,0,"Final"
"2005-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",237,0,"Final"
"2005-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",264,0,"Final"
"2005-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",235,0,"Final"
"2005-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",249,0,"Final"
"2005-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",267,0,"Final"
"2005-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",274,0,"Final"
"2005-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",312,0,"Final"
"2005-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",299,0,"Final"
"2005-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",297,0,"Final"
"2005-12","2020-09","Long-term migrant","Arrivals","Female","40-44 years",391,0,"Final"
"2006-01","2020-09","Long-term migrant","Arrivals","Female","40-44 years",411,0,"Final"
"2006-02","2020-09","Long-term migrant","Arrivals","Female","40-44 years",303,0,"Final"
"2006-03","2020-09","Long-term migrant","Arrivals","Female","40-44 years",227,0,"Final"
"2006-04","2020-09","Long-term migrant","Arrivals","Female","40-44 years",250,0,"Final"
"2006-05","2020-09","Long-term migrant","Arrivals","Female","40-44 years",245,0,"Final"
"2006-06","2020-09","Long-term migrant","Arrivals","Female","40-44 years",270,0,"Final"
"2006-07","2020-09","Long-term migrant","Arrivals","Female","40-44 years",298,0,"Final"
"2006-08","2020-09","Long-term migrant","Arrivals","Female","40-44 years",307,0,"Final"
"2006-09","2020-09","Long-term migrant","Arrivals","Female","40-44 years",339,0,"Final"
"2006-10","2020-09","Long-term migrant","Arrivals","Female","40-44 years",315,0,"Final"
"2006-11","2020-09","Long-term migrant","Arrivals","Female","40-44 years",326,0,"Final"
